                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6657,                 4.4685,                 1.8984,                0.02081,                0.08048,                0.04845,                0.03103,                 1.7009,                 4.9417,                 2.0268,             0.00013627,             0.00013627,             0.00013627
                      2,                 1.5248,                 4.1463,                 1.8223,                0.72348,                 0.0679,                0.06837,                0.04247,                 1.7272,                 4.5791,                 2.0636,             0.00026165,             0.00026165,             0.00026165
                      3,                 1.5718,                 3.8836,                 1.8337,                0.44451,                0.07728,                0.04924,                0.02735,                  1.779,                 4.6338,                 2.1452,             0.00037326,             0.00037326,             0.00037326
                      4,                 1.6404,                 3.6695,                 1.8701,                0.47843,                0.13116,                0.07235,                0.03765,                 1.8798,                 4.4243,                 2.2278,             0.00035508,             0.00035508,             0.00035508
                      5,                  1.606,                 3.4561,                 1.8506,                0.49467,                0.12053,                 0.1142,                0.06497,                 1.7831,                 4.1019,                  2.215,             0.00033443,             0.00033443,             0.00033443
                      6,                 1.5849,                 3.3697,                 1.8417,                 0.3514,                0.17676,                0.12213,                0.06658,                 1.8184,                 4.2334,                 2.1939,             0.00031379,             0.00031379,             0.00031379
                      7,                 1.6019,                 3.2612,                  1.835,                0.53131,                0.12307,                0.14832,                0.07903,                 1.7647,                 4.0873,                  2.245,             0.00029315,             0.00029315,             0.00029315
                      8,                 1.5737,                 3.1665,                 1.8484,                0.38325,                0.21216,                0.17593,                0.10097,                 1.7506,                 3.8104,                 2.1288,             0.00027251,             0.00027251,             0.00027251
                      9,                 1.5398,                 2.9911,                 1.7911,                0.62955,                0.19194,                0.20222,                0.12173,                 1.6931,                  3.731,                 2.1106,             0.00025187,             0.00025187,             0.00025187
                     10,                 1.5454,                 2.9733,                  1.799,                0.45844,                 0.2425,                0.23795,                0.14584,                 1.6598,                 3.6137,                 2.0606,             0.00023123,             0.00023123,             0.00023123
                     11,                 1.5773,                 3.3102,                 1.9502,                 0.3958,                0.22779,                0.21488,                   0.13,                 1.6552,                 3.8098,                  2.125,             0.00021059,             0.00021059,             0.00021059
                     12,                 1.5053,                 3.1926,                  1.903,                 0.3517,                 0.2621,                0.23563,                0.14541,                 1.6712,                  3.569,                 2.0574,             0.00018994,             0.00018994,             0.00018994
                     13,                 1.4784,                  3.012,                 1.8507,                0.51126,                0.25286,                0.26918,                0.16669,                 1.6592,                 3.4976,                 2.0477,              0.0001693,              0.0001693,              0.0001693
                     14,                 1.4702,                 2.9716,                 1.8547,                0.65891,                0.24868,                0.28974,                0.16829,                 1.7371,                 3.4092,                  2.067,             0.00014866,             0.00014866,             0.00014866
                     15,                 1.4257,                 2.8786,                 1.8301,                0.37822,                 0.2946,                0.29114,                0.18188,                  1.648,                 3.3696,                 2.0409,             0.00012802,             0.00012802,             0.00012802
                     16,                 1.4173,                 2.7999,                 1.7842,                0.49382,                0.26327,                0.30942,                0.18773,                 1.6729,                 3.3561,                 2.0312,             0.00010738,             0.00010738,             0.00010738
                     17,                 1.3937,                 2.6725,                  1.759,                0.32807,                0.31466,                0.32051,                0.19957,                 1.6481,                  3.293,                 2.0316,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     18,                 1.3576,                  2.682,                  1.751,                0.34588,                0.28607,                0.31943,                0.19703,                 1.6718,                 3.2881,                 2.0388,             6.6095e-05,             6.6095e-05,             6.6095e-05
                     19,                 1.3226,                 2.5737,                 1.7128,                0.72609,                0.24959,                 0.3215,                0.19674,                 1.6681,                 3.2417,                 2.0274,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     20,                 1.3048,                 2.5556,                 1.6916,                 0.6808,                0.25906,                  0.324,                 0.2016,                 1.6554,                 3.2127,                 2.0177,             2.4812e-05,             2.4812e-05,             2.4812e-05
